route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
3783,19,BEŞİKTAŞ -SÜLEYMAN SEBA CAD- HARBİYE,BEŞİKTAŞ - HARBİYE,,10,,,
3800,19,ÇEKMEKÖY - ŞİLE YOLUKADIKÖY,ÇEKMEKÖY - KADIKÖY,,10,,,
3761,19,ÜSKÜDAR-CUMHURİYET CAD- BAĞLARBAŞI,ÜSKÜDAR-BAĞLARBAŞI,,10,,,
3806,19,YENİBOSNA - SAHİL YOLU- TAKSİM,YENİBOSNA - TAKSİM,,10,,,
3741,19,CEVİZLİBAĞ - ADNAN MENDERES VATAN BLV- TAKSİM,CEVİZLİBAĞ - TAKSİM,,10,,,
3779,19,ÜSKÜDAR - GÜNDOĞUMU CAD- KADIKÖY,ÜSKÜDAR - KADIKÖY,,10,,,
3782,19,ÜSKÜDAR - EMNİYET MAHALLESİ,ÜSKÜDAR - EMNİYET MAHALLESİ,,10,,,
3754,19,FLORYA -D100 KARAYOLU- TAKSİM,FLORYA - TAKSİM,,10,,,
3771,19,FLORYA -SAHİL YOLU- TAKSİM,FLORYA - TAKSİM,,10,,,
3738,19,K.M.PAŞA -BAHRİYE CAD- TAKSİM,K.M.PAŞA - TAKSİM,,10,,,
3751,19,TEŞVİKİYE - KADIRGALAR CAD-TAKSİM,TEŞVİKİYE - TAKSİM,,10,,,
3797,19,BOSTANCI - BAĞDAT CAD - TAKSİM,BOSTANCI - TAKSİM,,10,,,
7079,19,BEŞİKTAŞ - ETİLER METRO,BEŞİKTAŞ-KURUÇEŞME-BEBEK-BEBEK YOKUŞU-ETİLER METRO,,10,,,
